name,position
Browns,DEF
Cowboys,DEF
Chiefs,DEF
Jets,DEF
Falcons,DEF
Bears,DEF
Ravens,DEF
Colts,DEF
Saints,DEF
Rams,DEF
Raiders,DEF
Dolphins,DEF
Giants,DEF
Jaguars,DEF
Bengals,DEF
Buccaneers,DEF
Panthers,DEF
Titans,DEF
Redskins,DEF
Cardinals,DEF
